Krøyersvej 27, 5700 Svendborg
Møllergade 9, 1, 5700 Svendborg
Tvedvej 97, 5700 Svendborg
Møllergade 11, 1, 5700 Svendborg
Møllergade 11, 2, 5700 Svendborg
Møllergade 11, 5700 Svendborg
Møllergade 11, 5700 Svendborg
Nyborgvej 93, 5700 Svendborg
Møllergade 11, 5700 Svendborg
Møllergade 12, 1, 5700 Svendborg
Møllergade 12, 2, 5700 Svendborg
Møllergade 12, ST, 5700 Svendborg
Møllergade 13, 5700 Svendborg
Møllergade 13, 5700 Svendborg
Møllergade 13, 5700 Svendborg
Møllergade 13, 2, 5700 Svendborg
Møllergade 13, 3 TV, 5700 Svendborg
Avernakøvej 44, 5700 Svendborg
Møllergade 13, 3 TH, 5700 Svendborg
Mølmarksvej 174, 5700 Svendborg
Klampenborgvej 41, 5700 Svendborg
Møllergade 16, 5700 Svendborg
Sundbakken 2, 5700 Svendborg
Lolkvænget 28, 5700 Svendborg
Møllergade 18, 5700 Svendborg
Vestergade 44, 5700 Svendborg
Korshøjvænge 8, 5700 Svendborg
Christiansvej 35, 5700 Svendborg
Møllergade 20, 5700 Svendborg
Rødeledsvej 6, 5700 Svendborg
Møllergade 21, 5700 Svendborg
Møllergade 21, 5700 Svendborg
Møllergade 21, 5700 Svendborg
Møllergade 21, 2 TH, 5700 Svendborg
Møllergade 21, 1 TV, 5700 Svendborg
Møllergade 21, 5700 Svendborg
Møllergade 21, 2 TV, 5700 Svendborg
Møllergade 23, 5700 Svendborg
Troldeskovvej 21, 5700 Svendborg
Hybenvej 5, 5700 Svendborg
Kogtvedvej 88, 5700 Svendborg
Møllergade 24, 5700 Svendborg
Møllergade 25, 5700 Svendborg
Ravnemøllevej 7, 5700 Svendborg
Johs Jørgensens Vej 10, 5700 Svendborg
Odensevej 94, 5700 Svendborg
Møllergade 28, 5700 Svendborg
Jessens Mole 4, 5700 Svendborg
Møllergade 28, 1, 5700 Svendborg
St Byhavevej 91, 5700 Svendborg
Møllergade 30, 5700 Svendborg
Mølmarksvej 110, 5700 Svendborg
Møllergade 31, 5700 Svendborg
Illumøvej 25, 5700 Svendborg
Møllergade 34, 5700 Svendborg
Bjørnøvej 49, 5700 Svendborg
Dronningemaen 4, 5700 Svendborg
Ørbækvænget 7, 5700 Svendborg
Møllergade 33, 5700 Svendborg
Klintemarken 15, ST TH, 5700 Svendborg
Birkehøj 19, 5700 Svendborg
Møllergade 34, 5700 Svendborg
Møllergade 34, 1, 5700 Svendborg
Møllergade 36, 5700 Svendborg
Christinedalsvej 10, 5700 Svendborg
Møllergade 36, 5700 Svendborg
Ravnemøllevej 1, ST, 5700 Svendborg
Møllergade 37, 5700 Svendborg
Bagergade 2, 5700 Svendborg
Sofielund 94, 5700 Svendborg
Bagergade 4, 5700 Svendborg
Niels Bohrs Vej 3, 5700 Svendborg
Møllergade 38, 1, 5700 Svendborg
Møllergade 40, 5700 Svendborg
Møllergade 38, 2, 5700 Svendborg
Møllergade 38, ST, 5700 Svendborg
Møllergade 38,  1, 5700 Svendborg
Bjergvænget 6, 5700 Svendborg
Møllergade 38, 5700 Svendborg
Møllergade 40, 5700 Svendborg
Møllergade 38, 5700 Svendborg
Wandallsparken 4, 5700 Svendborg
Møllergade 41, 5700 Svendborg
Møllergade 41, 5700 Svendborg
Møllergade 39, ST, 5700 Svendborg
Møllergade 42, 5700 Svendborg
Møllergade 42, 5700 Svendborg
Møllergade 43, ST, 5700 Svendborg
Møllergade 44, 5700 Svendborg
Øksenbjergvej 20, 5700 Svendborg
Møllergade 44, 5700 Svendborg
Møllergade 44, 5700 Svendborg
H C Ørsteds Vej 68, 5700 Svendborg
Møllergade 44, 1 TV, 5700 Svendborg
Møllergade 44, 5700 Svendborg
Møllergade 44, 5700 Svendborg
Møllergade 44, 1, 5700 Svendborg
Møllergade 44, ST, 5700 Svendborg
Møllergade 44, ST, 5700 Svendborg
Møllergade 44, 5700 Svendborg
Møllergade 45, 5700 Svendborg
Nyborgvej 95, 5700 Svendborg
Jægermarken 8, ST TV, 5700 Svendborg
Møllergade 47, 5700 Svendborg
Møllergade 48, 5700 Svendborg
Apotekervej 18, 5700 Svendborg
Møllergade 49, 5700 Svendborg
Møllergade 50, 5700 Svendborg
Møllergade 50, ST, 5700 Svendborg
Sofielund 5, 5700 Svendborg
Møllergade 50, 1, 5700 Svendborg
Møllergade 50, 2, 5700 Svendborg
Møllergade 51, 5700 Svendborg
Munkevænget 7, ST TH, 5700 Svendborg
Kogtvedvej 27, 5700 Svendborg
Tværvej 60, ST, 5700 Svendborg
Rødeledsvej 45, 5700 Svendborg
Møllergade 53, 1, 5700 Svendborg
Kobberbæksvej 76, 5700 Svendborg
Møllergade 53, ST, 5700 Svendborg
Møllergade 54, 5700 Svendborg
Møllergade 54, 5700 Svendborg
Møllergade 54, 5700 Svendborg
Rønne Alle 4, 5700 Svendborg
Jægermarken 10, 1 MF, 5700 Svendborg
Stubbevangen 19, 5700 Svendborg
Tvedvej 83, 5700 Svendborg
Lundtoftevej 1, 5700 Svendborg
Strandvej 76, 5700 Svendborg
Kirsebærvej 14, 5700 Svendborg
Havretoften 12, 5700 Svendborg
Møllergade 57, 5700 Svendborg
Kullinggade 29, 5700 Svendborg
Møllergade 57, 5700 Svendborg
Notarvænget 15, 5700 Svendborg
Myrehøjvej 22, 5700 Svendborg
Heimdalsvej 20, 5700 Svendborg
A P Møllers Vej 25, 5700 Svendborg
Møllergade 59, 5700 Svendborg
Møllergade 59, 5700 Svendborg
Skovsbovej 56, 5700 Svendborg
Kobberbæksvej 89, 5700 Svendborg
Sørupvej 2, 5700 Svendborg
Brogade 35, 5700 Svendborg
Græskæmnervej 11, 5700 Svendborg
Møllergade 61, 1, 5700 Svendborg
Brydegårdsvej 22, 5700 Svendborg
Møllergade 61, 5700 Svendborg
Myrehøjvej 14, 5700 Svendborg
Møllergade 62, 5700 Svendborg
Heimdalsvej 17, 5700 Svendborg
Heimdalsvej 10, 5700 Svendborg
Heimdalsvej 4, 5700 Svendborg
Hallindskovvej 68, 5700 Svendborg
Møllergade 62, 2 TV, 5700 Svendborg
Wandallsparken 41, 5700 Svendborg
Møllergade 63, 5700 Svendborg
Møllergade 63, 5700 Svendborg
Møllergade 64, 1 TV, 5700 Svendborg
Møllergade 64, ST, 5700 Svendborg
Fåborgvej 38, 5700 Svendborg
Møllergade 65, 5700 Svendborg
Skovhaven 20, 5700 Svendborg
Thorsvej 5, 5700 Svendborg
Møllergade 65, 2, 5700 Svendborg
Møllergade 65, 5700 Svendborg
Møllergade 66, 1 TV, 5700 Svendborg
Brydevej 19, 1, 5700 Svendborg
Møllergade 66, 2 TV, 5700 Svendborg
Møllergade 66, 5700 Svendborg
Heibergsvænge 15, 5700 Svendborg
Møllergade 66, 5700 Svendborg
Møllergade 66, 1 TV, 5700 Svendborg
Møllergade 66, 2 TH, 5700 Svendborg
Bagergade 40, 5700 Svendborg
Bjergvænget 5, 5700 Svendborg
Møllergade 67, 1, 5700 Svendborg
Møllergade 67, 5700 Svendborg
H C Andersens Vej 44, 5700 Svendborg
Møllergade 67, 5700 Svendborg
Pengekrogen 36, 5700 Svendborg
Møllergade 68, 5700 Svendborg
Møllergade 68, 5700 Svendborg
Johan Lundbyes Vej 15, 5700 Svendborg
Brydegårdsvej 22, 1, 5700 Svendborg
Møllergade 68, 5700 Svendborg
Enghavevej 22, 5700 Svendborg
Møllergade 70, 5700 Svendborg
Møllergade 70, 5700 Svendborg
Kobberbæksvej 41, 5700 Svendborg
Møllergade 70, 1 TV, 5700 Svendborg
Møllergade 72, 1, 5700 Svendborg
Møllergade 72, ST, 5700 Svendborg
H C Ørsteds Vej 50, 5700 Svendborg
Pengekrogen 8, 5700 Svendborg
Bjørnøvej 7, 5700 Svendborg
Møllergade 74, 5700 Svendborg
Møllergade 74, 5700 Svendborg
Møllergade 76, 5700 Svendborg
Øksenbjergvej 65, 5700 Svendborg
Møllergade 5, 1 TV, 5700 Svendborg
Hybenvej 25, 5700 Svendborg
Torvet 10, 5700 Svendborg
Heibergsvænge 38, 5700 Svendborg
Valdemarsgade 33, ST TV, 5700 Svendborg
Præstevænget 7, 5700 Svendborg
Søkrogen 4, 5700 Svendborg
Torvet 1, 5700 Svendborg
Struebjerg 8, 5700 Svendborg
Bruuns Alle 20, 5700 Svendborg
Torvet 3, 5700 Svendborg
Kirsebærvej 17, 5700 Svendborg
Torvet 4, Kl. 5700 Svendborg
Klampenborgvej 57, 5700 Svendborg
Torvet 4, 2, 5700 Svendborg
Torvet 4, 3, 5700 Svendborg
Byparken 16, 5700 Svendborg
Torvet 4, 1, 5700 Svendborg
Torvet 4, 5700 Svendborg
Torvet 4, ST, 5700 Svendborg
Strandvej 57, 5700 Svendborg
Torvet 5, 5700 Svendborg
Niels Hansens Vej 3, 5700 Svendborg
Bruuns Alle 18, 5700 Svendborg
Torvet 5, 5700 Svendborg
Torvet 5, 2, 5700 Svendborg
Kattesundet 1, 1 TV, 5700 Svendborg
Kattesundet 1, 2, 5700 Svendborg
Kattesundet 1, 1 TH, 5700 Svendborg
Glarmestervej 28, 5700 Svendborg
Illumøvej 20, 5700 Svendborg
Fruerstuevej 4, 5700 Svendborg
Strandvej 2, 5700 Svendborg
Strynøvej 14, 5700 Svendborg
Illumøvej 14, 5700 Svendborg
Enghavevej 21, 5700 Svendborg
Kattesundet 1, 1, 5700 Svendborg
Stubbevangen 49, 5700 Svendborg
Skovvej 29, 5700 Svendborg
Sonnesvej 16, 5700 Svendborg
Kattesundet 3, 1 TH, 5700 Svendborg
Kattesundet 3, 5700 Svendborg
Kattesundet 3, 5700 Svendborg
Kattesundet 3, 3 TV, 5700 Svendborg
Tværvej 48, 5700 Svendborg
Kristian Erslevs Vej 2, 5700 Svendborg
Kattesundet 3, 5700 Svendborg
Kattesundet 3, 5700 Svendborg
Kattesundet 3, 2 TH, 5700 Svendborg
Kattesundet 3, 3 TH, 5700 Svendborg
Kattesundet 3, 5700 Svendborg
Søkildevej 28, 5700 Svendborg
Kattesundet 5, 2 MF, 5700 Svendborg
Kattesundet 5, 5700 Svendborg
Kattesundet 5, 3 TV, 5700 Svendborg
Bontvedvej 15, 5700 Svendborg
Kattesundet 5,  1, 5700 Svendborg
Kattesundet 5, 2 TV, 5700 Svendborg
Gerritsgade 14, 5700 Svendborg
Kattesundet 5,  TH, 5700 Svendborg
Kattesundet 5, 1 TV, 5700 Svendborg
Linkensvænge 6, 5700 Svendborg
Kattesundet 5, 5700 Svendborg
Christinedalsvej 22, 5700 Svendborg
Wandallsvænge 34, 5700 Svendborg
Kattesundet 6, 5700 Svendborg
Kobberbæksvej 59, 5700 Svendborg
Kattesundet 8, 5700 Svendborg
Kattesundet 8, 1 TV, 5700 Svendborg
Kattesundet 10, 5700 Svendborg
Enemærket 27, 5700 Svendborg
Østre Havnevej 15, 5700 Svendborg
Sybergsvej 10, 5700 Svendborg
Torvet 7, 5700 Svendborg
Ramsherred 1, 5700 Svendborg
Kastanie Alle 17, 5700 Svendborg
Sonnesvej 3, 5700 Svendborg
Ramsherred 1, 2, 5700 Svendborg
Sonnesvej 9, 5700 Svendborg
Enemærket 5, 5700 Svendborg
Kobbertoften 7, ST, 5700 Svendborg
Porthusvej 48, 5700 Svendborg
Møllergade 91, 5700 Svendborg
Ole Rømers Vej 16, 5700 Svendborg
Ramsherred 2, 5700 Svendborg
Ravnemøllevej 1, 1, 5700 Svendborg
Ramsherred 2, 1 TH, 5700 Svendborg
Enghavevej 25, 5700 Svendborg
Mølmarksvej 24, 5700 Svendborg
Myrehøjvej 10, 5700 Svendborg
Christinedalsvej 9, 5700 Svendborg
Niels Bohrs Vej 4, 5700 Svendborg
Ramsherred 5, 5700 Svendborg
Pjentemøllestræde 1, ST, 5700 Svendborg
Pjentemøllestræde 3, ST, 5700 Svendborg
Pjentemøllestræde 5, Kl. 5700 Svendborg
Pjentemøllestræde 5, 1, 5700 Svendborg
Pjentemøllestræde 5, 1, 5700 Svendborg
Pjentemøllestræde 6, Kl. 5700 Svendborg
Folehaven 15, 5700 Svendborg
Pjentemøllestræde 7, ST, 5700 Svendborg
Pjentemøllestræde 7, Kl. 5700 Svendborg
Pjentemøllestræde 7, 5700 Svendborg
Pjentemøllestræde 7, 2, 5700 Svendborg
Pjentemøllestræde 7, 1, 5700 Svendborg
Pjentemøllestræde 8, 5700 Svendborg
Pjentemøllestræde 9, 5700 Svendborg
Pjentemøllestræde 13, 5700 Svendborg
Ørbækvænget 2, 5700 Svendborg
Møllergade 95, 2 TV, 5700 Svendborg
Sanddalsvænget 10, 5700 Svendborg
Færgevej 13, 5700 Svendborg
Myrehøjvej 39, 5700 Svendborg
Ørkildsgade 3, 5700 Svendborg
Korsgade 17, 5700 Svendborg
Præstevænget 29, 5700 Svendborg
Brydevej 5, 5700 Svendborg
Kallehaven 17, 5700 Svendborg
Hestmaevej 6, 5700 Svendborg
Præstevænget 34, 5700 Svendborg
Fåborgvej 22, 5700 Svendborg
Lyøvej 13, 5700 Svendborg
Vilhelm Thomsens Vej 6, 5700 Svendborg
Wandallsparken 2, 5700 Svendborg
Nyborgvej 223, 5700 Svendborg
Maegårdsvænget 11, 5700 Svendborg
Fruestræde 13, 1, 5700 Svendborg
Fruestræde 13, ST, 5700 Svendborg
Fruestræde 15, 5700 Svendborg
Fruestræde 15, 5700 Svendborg
H C Ørsteds Vej 24, 5700 Svendborg
Fruestræde 17, 5700 Svendborg
Jernbanegade 2, 5700 Svendborg
Klosterplads 1, 5700 Svendborg
Odensevej 82, 5700 Svendborg
Kai Nielsens Vej 2, 5700 Svendborg
Niels Hansens Vej 11, 5700 Svendborg
Teatergade 5, 5700 Svendborg
Mølmarksvej 197,  4, 5700 Svendborg
Bjørnøvej 36, 5700 Svendborg
Baagøes Alle 8, 5700 Svendborg
Nonnevænget 17, 5700 Svendborg
Bjørnøvej 48, 5700 Svendborg
Strandbakken 7, 5700 Svendborg
Hybenvej 12, 5700 Svendborg
Bjørnøvej 47, 5700 Svendborg
Wandallsparken 11, 5700 Svendborg
Sonnesvej 12, 5700 Svendborg
Fruestræde 10, 5700 Svendborg
Fruestræde 12, 5700 Svendborg
Kobberbæksvej 52, 5700 Svendborg
H C Ørsteds Vej 64, 5700 Svendborg
Hybenvej 10, 5700 Svendborg
Kongebakken 19, 5700 Svendborg
Korsgade 1, 5700 Svendborg
Tvedvej 87, 5700 Svendborg
Korsgade 1, 2 TH, 5700 Svendborg
Korsgade 1, 2 TV, 5700 Svendborg
Korsgade 1, 3, 5700 Svendborg
Korsgade 2, 5700 Svendborg
Korsgade 2, 1 TH, 5700 Svendborg
Korsgade 2, 5700 Svendborg
Bjørnøvej 24, 5700 Svendborg
Korsgade 2, 5700 Svendborg
Enemærket 26, 5700 Svendborg
Korsgade 3, 5700 Svendborg
Mølmarksvej 40,  L-1, 5700 Svendborg
Korsgade 3, 5700 Svendborg
Korsgade 3, 1 TH, 5700 Svendborg
Birkehøj 15, 5700 Svendborg
Mølmarksvej 199, 5700 Svendborg
Korsgade 3, ST, 5700 Svendborg
Korsgade 3, 5700 Svendborg
Korsgade 3, 1, 5700 Svendborg
Pengekrogen 3, 5700 Svendborg
Mølmarksvej 34, 5700 Svendborg
Korsgade 5, 5700 Svendborg
Birkehøj 13, 5700 Svendborg
Halmøvænge 5, 5700 Svendborg
Wandallsvænge 45, 5700 Svendborg
Ole Rømers Vej 4, 5700 Svendborg
Korsgade 5, 1, 5700 Svendborg
Ranunkelvej 11, 5700 Svendborg
Niels Hansens Vej 10, 5700 Svendborg
Ole Rømers Vej 9, 5700 Svendborg
Korsgade 7, 5700 Svendborg
Korsgade 7, 1 TH, 5700 Svendborg
Korsgade 7, 1 TV, 5700 Svendborg
Wandallsparken 9, 5700 Svendborg
Nyborgvej 163, 5700 Svendborg
Skattergade 1, 2 TH, 5700 Svendborg
Nannasvej 6, 5700 Svendborg
Korsgade 8, 5700 Svendborg
Gerritsgade 18, 2, 5700 Svendborg
Viebæltet 1, 5700 Svendborg
Sankt Nic Kirkestr 2, 5700 Svendborg
Korsgade 9, 5700 Svendborg
Korsgade 9, 5700 Svendborg
Korsgade 9, ST TH, 5700 Svendborg
Korsgade 9, 1 TV, 5700 Svendborg
Korsgade 9, 1 TH, 5700 Svendborg
Korsgade 9, 2 TV, 5700 Svendborg
Korsgade 9, 2 TH, 5700 Svendborg
Korsgade 9, 3 TV, 5700 Svendborg
Korsgade 10, 5700 Svendborg
Sankt Nic Kirkestr 1, 1, 5700 Svendborg
Bagergade 72, 1, 5700 Svendborg
Herluf Trolles Vej 2, 5700 Svendborg
Korsgade 12, ST, 5700 Svendborg
Korsgade 14, 1, 5700 Svendborg
Glarmestervej 4, 5700 Svendborg
Kattesundet 1, 5700 Svendborg
Korsgade 14, 5700 Svendborg
Korsgade 14, 1 TV, 5700 Svendborg
Tværvej 50, 5700 Svendborg
Mellemvej 41, 5700 Svendborg
Gyldenbjergsvej 36, 5700 Svendborg
Korsgade 15, 1, 5700 Svendborg
Korsgade 16, ST, 5700 Svendborg
Korsgade 16, 5700 Svendborg
Møllergade 53, ST, 5700 Svendborg
Korsgade 16, 2, 5700 Svendborg
Korsgade 16, 1, 5700 Svendborg
Bjørnøvej 18, 5700 Svendborg
Lolkvænget 15, 5700 Svendborg
Brydevej 31, 5700 Svendborg
Heimdalsvej 5, 5700 Svendborg
Brydevej 31, 5700 Svendborg
Korsgade 18, 3, 5700 Svendborg
Fåborgvej 28, 5700 Svendborg
Korsgade 18, 2, 5700 Svendborg
Korsgade 19, 5700 Svendborg
Korsgade 20, 5700 Svendborg
Korsgade 21, 5700 Svendborg
Birkehøj 10, 5700 Svendborg
Korsgade 22, 1, 5700 Svendborg
Korsgade 22, 5700 Svendborg
Stubbevangen 39, 5700 Svendborg
Korsgade 23, 5700 Svendborg
Korsgade 23, 1, 5700 Svendborg
Korsgade 24, 5700 Svendborg
Jægermarken 8, 1 TV, 5700 Svendborg
Korsgade 25, 5700 Svendborg
Korsgade 26, ST, 5700 Svendborg
Præstevænget 37, 5700 Svendborg
Korsgade 26, 1, 5700 Svendborg
Korsgade 28, 5700 Svendborg
Korsgade 28, 5700 Svendborg
H C Andersens Vej 43, 5700 Svendborg
Korsgade 28, 5700 Svendborg
Nyborgvej 171, 5700 Svendborg
Korsgade 30, 5700 Svendborg
Korsgade 32, 5700 Svendborg
Klampenborgvej 42, 5700 Svendborg
Voldgade 11, 5700 Svendborg
Havnepladsen 4, 5700 Svendborg
Brydegårdsvej 9, 5700 Svendborg
Ole Rømers Vej 5, 5700 Svendborg
Havnepladsen 2, 5700 Svendborg
Havnepladsen 2, 5700 Svendborg
Skovvang 9, 5700 Svendborg
Havnepladsen 5, 5700 Svendborg
Ørbækvej 20, 5700 Svendborg
Illumøvej 7, 5700 Svendborg
Gerritsgade 20, 5700 Svendborg
Havnepladsen 7, 5700 Svendborg
Odensevej 97, 5700 Svendborg
Jessens Mole 3, 5700 Svendborg
Jessens Mole 1, 5700 Svendborg
Eskegårdsvej 9, 5700 Svendborg
Ole Rømers Vej 32, 5700 Svendborg
Tvedvej 99, 5700 Svendborg
Jessens Mole 3, 5700 Svendborg
Jessens Mole 3, 1 TV, 5700 Svendborg
Jessens Mole 3, 5700 Svendborg
Jessens Mole 5, 5700 Svendborg
Jessens Mole 9, 5700 Svendborg
Jessens Mole 9, 5700 Svendborg
Sonnesvej 1, 5700 Svendborg
Eskegårdsvej 3, 5700 Svendborg
Ranunkelvej 5, 5700 Svendborg
Kirsebærvej 24, 5700 Svendborg
Avernakøvej 46, 5700 Svendborg
Vestergade 101, KL TH, 5700 Svendborg
Folehaven 11, 5700 Svendborg
Eskegårdsvej 8, 5700 Svendborg
Notarvænget 13, 5700 Svendborg
Frue Kirkestræde 8, 5700 Svendborg
Hybenvej 16, 5700 Svendborg
Gyldenbjergsvej 16, 5700 Svendborg
Jessens Mole 12, 5700 Svendborg
Wandallsvænge 42, 5700 Svendborg
Klampenborgvej 56, 5700 Svendborg
Sætting Strandvej 11, 5700 Svendborg
Frederiksø 1, 5700 Svendborg
Strandbakken 16, 5700 Svendborg
Søndre Stænge 3, 5700 Svendborg
Stubbevangen 42, 5700 Svendborg
Myrehøjvej 8, 5700 Svendborg
Niels Finsens Vej 3, 5700 Svendborg
Sankt Nic Kirkestr 1, 1 TV, 5700 Svendborg
Sankt Nic Kirkestr 1, 1 TH, 5700 Svendborg
Sankt Nic Kirkestr 1, 5700 Svendborg
Sankt Nic Kirkestr 1, 5700 Svendborg
Kyseborgstræde 1, 1, 5700 Svendborg
Kyseborgstræde 1, 2, 5700 Svendborg
Kyseborgstræde 2, 5700 Svendborg
Kyseborgstræde 4, 5700 Svendborg
Kyseborgstræde 6, ST TV, 5700 Svendborg
Kyseborgstræde 6,  TH, 5700 Svendborg
Kyseborgstræde 14, 5700 Svendborg
Jægermarken 10, 2 TH, 5700 Svendborg
Daltoftevej 11, 5700 Svendborg
Skattergade 3, 5700 Svendborg
Brogade 11, 5700 Svendborg
Gammel Skårupvænge 8, 5700 Svendborg
Krøyersvej 21, 5700 Svendborg
Kristian Erslevs Vej 6, 5700 Svendborg
Skattergade 4, 5700 Svendborg
Kristian Erslevs Vej 5, 5700 Svendborg
Skattergade 4, 2, 5700 Svendborg
Kobberbæksvej 95, 5700 Svendborg
Wandallsparken 3, 5700 Svendborg
Skattergade 5, 1, 5700 Svendborg
Odensevej 273, 5700 Svendborg
Skattergade 6, 5700 Svendborg
Skattergade 7, 5700 Svendborg
Hesselbjerg 6, 5700 Svendborg
Skattergade 8, 5700 Svendborg
Kobberbæksvej 19, 5700 Svendborg
Skattergade 9, 5700 Svendborg
Skattergade 10, 5700 Svendborg
Pengekrogen 40, 5700 Svendborg
Skattergade 11, 5700 Svendborg
Jernbanegade 18, 5700 Svendborg
Margrethelundsvej 4, 5700 Svendborg
Huusomsvej 8, 5700 Svendborg
Skattergade 14, 5700 Svendborg
Skattergade 16, 5700 Svendborg
Skattergade 16, 5700 Svendborg
Tværvej 48, 5700 Svendborg
Skattergade 16, 5700 Svendborg
Skattergade 17, 5700 Svendborg
Skattergade 17, 1, 5700 Svendborg
Stubbevangen 44, 5700 Svendborg
Kogtvedparken 4, 5700 Svendborg
Skattergade 18, 5700 Svendborg
Skattergade 19, 5700 Svendborg
Skattergade 19,  Baghus, 5700 Svendborg
Skattergade 21, 5700 Svendborg
Korshøjvænge 10, 5700 Svendborg
Skattergade 22, 5700 Svendborg
Nyvang 7, 5700 Svendborg
Skattergade 23, 5700 Svendborg
Skattergade 24, 5700 Svendborg
Skattergade 26, 5700 Svendborg
Skattergade 27, 5700 Svendborg
Skattergade 27, 5700 Svendborg
Skattergade 28, 5700 Svendborg
Klintemarken 15, 1 TV, 5700 Svendborg
Skattergade 30, 5700 Svendborg
Skattergade 31, 5700 Svendborg
Kullinggade 20, 5700 Svendborg
Skattergade 32, 5700 Svendborg
Skattergade 34, ST TV, 5700 Svendborg
Skattergade 34, ST TH, 5700 Svendborg
Skattergade 34, 1 TH, 5700 Svendborg
Skattergade 34,  th, 5700 Svendborg
Skattergade 34, 1 TV, 5700 Svendborg
Myrehøjvej 6, 5700 Svendborg
Skattergade 36, ST, 5700 Svendborg
Skattergade 36, 5700 Svendborg
Niels Juels Vej 39, 5700 Svendborg
Skattergade 38, 5700 Svendborg
Niels Hansens Vej 33, 5700 Svendborg
Kobberbæksvej 67, 5700 Svendborg
Bruuns Alle 16, 5700 Svendborg
Rømerparken 41, 5700 Svendborg
Skattergade 40, ST TH, 5700 Svendborg
Kullinggade 29, 5700 Svendborg
Kullinggade 29, 5700 Svendborg
Kullinggade 29, 5700 Svendborg
Kullinggade 29, 5700 Svendborg
Kullinggade 24, ST TV, 5700 Svendborg
Kullinggade 24, 5700 Svendborg
Kullinggade 26, ST, 5700 Svendborg
Kullinggade 28, 5700 Svendborg
Kullinggade 30, 5700 Svendborg
Vestergade 40, 5700 Svendborg
Mølmarksvej 164, 5700 Svendborg
Enemærket 15, 5700 Svendborg
Korshøjvænge 2, 5700 Svendborg
Mellemvej 29, 5700 Svendborg
Vestergade 14, 5700 Svendborg
Rømerparken 93, 5700 Svendborg
Kullinggade 38, 5700 Svendborg
Kullinggade 40, ST, 5700 Svendborg
Kullinggade 40, 1, 5700 Svendborg
Kullinggade 40, 5700 Svendborg
Valdemarsgade 2, 5700 Svendborg
Kullinggade 42, 5700 Svendborg
Kullinggade 44, 5700 Svendborg
Kullinggade 46, ST, 5700 Svendborg
Kløvermarksvej 6, 5700 Svendborg
Kullinggade 46, 1, 5700 Svendborg
Valdemarsgade 2, 5700 Svendborg
Christinedalsvej 30, 5700 Svendborg
Valdemarsgade 2, 5700 Svendborg
Ranunkelvej 10, 5700 Svendborg
Færgevej 3, 5700 Svendborg
Kogtvedvej 48, 5700 Svendborg
Færgevej 2, 1, 5700 Svendborg
Færgevej 2, ST, 5700 Svendborg
Færgevej 4, 1, 5700 Svendborg
Færgevej 4, ST, 5700 Svendborg
H C Andersens Vej 45, 5700 Svendborg
Færgevej 5, 5700 Svendborg
Færgevej 6, 5700 Svendborg
Færgevej 7, Kl. 5700 Svendborg
Færgevej 7, ST TV, 5700 Svendborg
Færgevej 7, ST TH, 5700 Svendborg
Færgevej 7, 1 TV, 5700 Svendborg
Færgevej 7, 1 TH, 5700 Svendborg
Færgevej 7, 5700 Svendborg
Færgevej 8, 5700 Svendborg
Mellemvej 12, 5700 Svendborg
Centrumpladsen 1, 5700 Svendborg
Skovbakken 7, 5700 Svendborg
Kobbertoften 7, 5700 Svendborg
Rømerparken 103, 5700 Svendborg
Kullinggade 40, 1, 5700 Svendborg
Kobbertoften 6, 5700 Svendborg
Kobbertoften 6, 1, 5700 Svendborg
Færgevej 16, 5700 Svendborg
Kobbertoften 5, ST, 5700 Svendborg
Færgevej 18, 1, 5700 Svendborg
Kobbertoften 5, 1, 5700 Svendborg
Læhegnet 8, 5700 Svendborg
Færgevej 20, 5700 Svendborg
Pengekrogen 7, 5700 Svendborg
Færgevej 22, 5700 Svendborg
Pengekrogen 42, 5700 Svendborg
Færgevej 24, 5700 Svendborg
Myrehøjvej 24, 5700 Svendborg
Avernakøvej 20, 5700 Svendborg
Wandallsvænge 51, 5700 Svendborg
Færgevej 26, 5700 Svendborg
Færgevej 28, 5700 Svendborg
Avernakøvej 50, 5700 Svendborg
Færgevej 28, ST TH, 5700 Svendborg
Færgevej 30, 5700 Svendborg
Færgevej 21, 5700 Svendborg
Færgevej 32, 5700 Svendborg
Bellevuevej 23, 5700 Svendborg
Færgevej 21, 5700 Svendborg
Færgevej 34, 5700 Svendborg
Kobbertoften 4, 5700 Svendborg
Porthusvej 107, 5700 Svendborg
Kobbertoften 3, 5700 Svendborg
Tuxensvej 3, 5700 Svendborg
Tuxensvej 7, 5700 Svendborg
Tuxensvej 12, 5700 Svendborg
Otte Ruds Vej 1, 5700 Svendborg
Otte Ruds Vej 2, ST, 5700 Svendborg
Otte Ruds Vej 2, 1, 5700 Svendborg
Birkehøj 6, 5700 Svendborg
Otte Ruds Vej 4, 5700 Svendborg
Nyborgvej 200, 5700 Svendborg
Otte Ruds Vej 6, 5700 Svendborg
Otte Ruds Vej 8, 5700 Svendborg
Drejøvej 8, 5700 Svendborg
Otte Ruds Vej 10, 5700 Svendborg
Otte Ruds Vej 12, 5700 Svendborg
Kobbertoften 3, 1, 5700 Svendborg
Willemoesvej 1, 5700 Svendborg
Willemoesvej 2, 5700 Svendborg
Willemoesvej 3, 5700 Svendborg
Willemoesvej 4, 5700 Svendborg
Willemoesvej 5, 5700 Svendborg
Illumøvej 5, 5700 Svendborg
Willemoesvej 6, 5700 Svendborg
Willemoesvej 7, 5700 Svendborg
